sense	number	antisense	bp
HIV-1:REJO:99:+	99	HIV-1:REJO:291:-	5000
HIV-1:REJO:100:+	100	HIV-1:REJO:292:-	5050
HIV-1:REJO:101:+	101	HIV-1:REJO:293:-	5100
HIV-1:REJO:102:+	102	HIV-1:REJO:294:-	5150
HIV-1:REJO:103:+	103	HIV-1:REJO:295:-	5200
HIV-1:REJO:104:+	104	HIV-1:REJO:296:-	5250
HIV-1:REJO:105:+	105	HIV-1:REJO:297:-	5300
HIV-1:REJO:106:+	106	HIV-1:REJO:298:-	5350
HIV-1:REJO:107:+	107	HIV-1:REJO:299:-	5400
HIV-1:REJO:108:+	108	HIV-1:REJO:300:-	5450
HIV-1:REJO:109:+	109	HIV-1:REJO:301:-	5500
HIV-1:REJO:110:+	110	HIV-1:REJO:302:-	5550
HIV-1:REJO:111:+	111	HIV-1:REJO:303:-	5600
HIV-1:REJO:112:+	112	HIV-1:REJO:304:-	5650
HIV-1:REJO:113:+	113	HIV-1:REJO:305:-	5700
HIV-1:REJO:114:+	114	HIV-1:REJO:306:-	5750
HIV-1:REJO:115:+	115	HIV-1:REJO:307:-	5800
HIV-1:REJO:116:+	116	HIV-1:REJO:308:-	5850
HIV-1:REJO:117:+	117	HIV-1:REJO:309:-	5900
HIV-1:REJO:118:+	118	HIV-1:REJO:310:-	5950
HIV-1:REJO:119:+	119	HIV-1:REJO:311:-	6000
HIV-1:REJO:120:+	120	HIV-1:REJO:312:-	6050
HIV-1:REJO:121:+	121	HIV-1:REJO:313:-	6100
HIV-1:REJO:122:+	122	HIV-1:REJO:314:-	6150
HIV-1:REJO:123:+	123	HIV-1:REJO:315:-	6200
HIV-1:REJO:124:+	124	HIV-1:REJO:316:-	6250
HIV-1:REJO:125:+	125	HIV-1:REJO:317:-	6300
HIV-1:REJO:126:+	126	HIV-1:REJO:318:-	6350
HIV-1:REJO:127:+	127	HIV-1:REJO:319:-	6400
HIV-1:REJO:128:+	128	HIV-1:REJO:320:-	6450
HIV-1:REJO:129:+	129	HIV-1:REJO:321:-	6500
HIV-1:REJO:130:+	130	HIV-1:REJO:322:-	6550
HIV-1:REJO:131:+	131	HIV-1:REJO:323:-	6600
HIV-1:REJO:132:+	132	HIV-1:REJO:324:-	6650
HIV-1:REJO:133:+	133	HIV-1:REJO:325:-	6700
HIV-1:REJO:134:+	134	HIV-1:REJO:326:-	6750
HIV-1:REJO:135:+	135	HIV-1:REJO:327:-	6800
HIV-1:REJO:136:+	136	HIV-1:REJO:328:-	6850
HIV-1:REJO:137:+	137	HIV-1:REJO:329:-	6900
HIV-1:REJO:138:+	138	HIV-1:REJO:330:-	6950
HIV-1:REJO:139:+	139	HIV-1:REJO:331:-	7000
HIV-1:REJO:140:+	140	HIV-1:REJO:332:-	7050
HIV-1:REJO:141:+	141	HIV-1:REJO:333:-	7100
HIV-1:REJO:142:+	142	HIV-1:REJO:334:-	7150
HIV-1:REJO:143:+	143	HIV-1:REJO:335:-	7200
HIV-1:REJO:144:+	144	HIV-1:REJO:336:-	7250
HIV-1:REJO:145:+	145	HIV-1:REJO:337:-	7300
HIV-1:REJO:146:+	146	HIV-1:REJO:338:-	7350
HIV-1:REJO:147:+	147	HIV-1:REJO:339:-	7400
HIV-1:REJO:148:+	148	HIV-1:REJO:340:-	7450
HIV-1:REJO:149:+	149	HIV-1:REJO:341:-	7500
HIV-1:REJO:150:+	150	HIV-1:REJO:342:-	7550
HIV-1:REJO:151:+	151	HIV-1:REJO:343:-	7600
HIV-1:REJO:152:+	152	HIV-1:REJO:344:-	7650
HIV-1:REJO:153:+	153	HIV-1:REJO:345:-	7700
HIV-1:REJO:154:+	154	HIV-1:REJO:346:-	7750
HIV-1:REJO:155:+	155	HIV-1:REJO:347:-	7800
HIV-1:REJO:156:+	156	HIV-1:REJO:348:-	7850
HIV-1:REJO:157:+	157	HIV-1:REJO:349:-	7900
HIV-1:REJO:158:+	158	HIV-1:REJO:350:-	7950
HIV-1:REJO:159:+	159	HIV-1:REJO:351:-	8000
HIV-1:REJO:160:+	160	HIV-1:REJO:352:-	8050
HIV-1:REJO:161:+	161	HIV-1:REJO:353:-	8100
HIV-1:REJO:162:+	162	HIV-1:REJO:354:-	8150
HIV-1:REJO:163:+	163	HIV-1:REJO:355:-	8200
HIV-1:REJO:164:+	164	HIV-1:REJO:356:-	8250
HIV-1:REJO:165:+	165	HIV-1:REJO:357:-	8300
HIV-1:REJO:166:+	166	HIV-1:REJO:358:-	8350
HIV-1:REJO:167:+	167	HIV-1:REJO:359:-	8400
HIV-1:REJO:168:+	168	HIV-1:REJO:360:-	8450
HIV-1:REJO:169:+	169	HIV-1:REJO:361:-	8500
HIV-1:REJO:170:+	170	HIV-1:REJO:362:-	8550
HIV-1:REJO:171:+	171	HIV-1:REJO:363:-	8600
HIV-1:REJO:172:+	172	HIV-1:REJO:364:-	8650
HIV-1:REJO:173:+	173	HIV-1:REJO:365:-	8700
HIV-1:REJO:174:+	174	HIV-1:REJO:366:-	8750
HIV-1:REJO:175:+	175	HIV-1:REJO:367:-	8800
HIV-1:REJO:176:+	176	HIV-1:REJO:368:-	8850
HIV-1:REJO:177:+	177	HIV-1:REJO:369:-	8900
HIV-1:REJO:178:+	178	HIV-1:REJO:370:-	8950
HIV-1:REJO:179:+	179	HIV-1:REJO:371:-	9000
HIV-1:REJO:180:+	180	HIV-1:REJO:372:-	9050
HIV-1:REJO:181:+	181	HIV-1:REJO:373:-	9100
HIV-1:REJO:182:+	182	HIV-1:REJO:374:-	9150
HIV-1:REJO:183:+	183	HIV-1:REJO:375:-	9200
HIV-1:REJO:184:+	184	HIV-1:REJO:376:-	9250
HIV-1:REJO:185:+	185	HIV-1:REJO:377:-	9300
HIV-1:REJO:186:+	186	HIV-1:REJO:378:-	9350
HIV-1:REJO:187:+	187	HIV-1:REJO:379:-	9400
HIV-1:REJO:188:+	188	HIV-1:REJO:380:-	9450
HIV-1:REJO:189:+	189	HIV-1:REJO:381:-	9500
HIV-1:REJO:190:+	190	HIV-1:REJO:382:-	9550
HIV-1:REJO:191:+	191	HIV-1:REJO:383:-	9600
HIV-1:REJO:192:+	192	HIV-1:REJO:384:-	9650
